#,Координатор,Статус,Пріоритет,Тема,Призначена до,Оновлено
"22526,Ошибка,Новая,Нормальный,""При українській локалізації в розділі """"Статті"""" букви мають різний розмір  "",Marina Muntianu,2024-03-12 20:09"
"22525,Ошибка,Новая,Нормальный,""Не відображаються зображення на сторінці """"Новини"""""",Marina Muntianu,2024-03-12 19:46"
"22524,Ошибка,Новая,Нормальный,""Зображення не відображаються в розділі """"Акції"""" "",Marina Muntianu,2024-03-12 19:27"
"22523,Ошибка,Новая,Срочный,""При спробі вибору виробника товарів у розділі """"Розпродаж"""" сторінка не завантажується"",Marina Muntianu,2024-03-12 18:05"
"22522,Ошибка,Новая,Нормальный,""Перекриття кнопки """"Відстежити замовлення"""" при наведенні курсору на зміну мови на головній сторінці"",Marina Muntianu,2024-03-12 17:43"
"22521,Ошибка,Новая,Нормальный,"" Текст залишився українською мовою при зміні локалізації на російську в розділі """"Каталог брендів"""""",Marina Muntianu,2024-03-12 17:27"
"22520,Ошибка,Новая,Высокий,""При спробі змінити локалізацію на російську в розділі """"Розпродаж"""" зміни не відображаються."",Marina Muntianu,2024-03-12 16:56"
"22519,Ошибка,Новая,Высокий,""При зміні локалізації на сайті, отримую повідомлення про відсутність запиту в розділі """"Розпродаж"""""",Marina Muntianu,2024-03-12 16:32"
22505,Ошибка,Новая,Высокий,Локалізація не перемикається на російську  мову при виборі RU в хедері.,Marina Muntianu,2024-03-11 23:44
"22504,Ошибка,Новая,Высокий,""На сторінці """"Сервисные услуги"""" сторінка відображається українською мовою при російській локалізації "",Marina Muntianu,2024-03-11 23:22"
